,file_id,r_bottom,displacement,r_upper,energy_values_experimental,adjusted_energy
0,r0_t0_t0_0_transformed.cif,0,0.0,0,-936.50959,0.1302100000000337
1,r0_t0_t0_100_transformed.cif,0,0.0,100,-936.20154,0.4382600000000138
2,r0_t0_t0_120_transformed.cif,0,0.0,120,-936.24208,0.3977200000000493
3,r0_t0_t0_140_transformed.cif,0,0.0,140,-936.15696,0.4828400000000101
4,r0_t0_t0_160_transformed.cif,0,0.0,160,-936.07957,0.5602300000000469
5,r0_t0_t0_180_transformed.cif,0,0.0,180,-936.04464,0.5951600000000781
6,r0_t0_t0_200_transformed.cif,0,0.0,200,-935.906,0.7338000000000875
7,r0_t0_t0_20_transformed.cif,0,0.0,20,-936.45119,0.1886100000000397
8,r0_t0_t0_220_transformed.cif,0,0.0,220,-936.23142,0.4083800000000792
9,r0_t0_t0_240_transformed.cif,0,0.0,240,-936.64097,-0.0011700000000018
10,r0_t0_t0_260_transformed.cif,0,0.0,260,-936.12068,0.5191200000000435
11,r0_t0_t0_280_transformed.cif,0,0.0,280,-936.20716,0.4326399999999921
12,r0_t0_t0_300_transformed.cif,0,0.0,300,-936.28232,0.3574800000000095
13,r0_t0_t0_320_transformed.cif,0,0.0,320,-936.34674,0.2930600000000822
14,r0_t0_t0_340_transformed.cif,0,0.0,340,-936.40345,0.2363500000000158
15,r0_t0_t0_40_transformed.cif,0,0.0,40,-936.20394,0.4358600000000479
16,r0_t0_t0_60_transformed.cif,0,0.0,60,-936.12172,0.5180800000000545
17,r0_t0_t0_80_transformed.cif,0,0.0,80,-936.10592,0.5338800000000674
18,r0_t1.2_t1.2_0_transformed.cif,0,1.2,0,-936.3593,0.2805000000000746
19,r0_t1.2_t1.2_100_transformed.cif,0,1.2,100,-936.10244,0.5373600000000351
20,r0_t1.2_t1.2_120_transformed.cif,0,1.2,120,-936.24822,0.3915800000000899
21,r0_t1.2_t1.2_140_transformed.cif,0,1.2,140,-936.31336,0.3264400000000478
22,r0_t1.2_t1.2_160_transformed.cif,0,1.2,160,-936.18199,0.4578099999999949
23,r0_t1.2_t1.2_180_transformed.cif,0,1.2,180,-936.11071,0.5290899999999965
24,r0_t1.2_t1.2_200_transformed.cif,0,1.2,200,-936.06971,0.5700900000000502
25,r0_t1.2_t1.2_20_transformed.cif,0,1.2,20,-936.25036,0.389440000000036
