structure_id,relative_cif_path,lower_rotation,displacement,upper_rotation,energy,delta_energy
L0_D0_U0,r0/t0/t0_0.cif,0.0,0.0,0.0,-936.50959,0.1302100000000337
L0_D0_U20,r0/t0/t0_20.cif,0.0,0.0,20.0,-936.45119,0.1886100000000397
L0_D0_U40,r0/t0/t0_40.cif,0.0,0.0,40.0,-936.20394,0.4358600000000479
L0_D0_U60,r0/t0/t0_60.cif,0.0,0.0,60.0,-936.12172,0.5180800000000545
L0_D0_U80,r0/t0/t0_80.cif,0.0,0.0,80.0,-936.10592,0.5338800000000674
L0_D0_U100,r0/t0/t0_100.cif,0.0,0.0,100.0,-936.20154,0.43826000000001386
L0_D0_U120,r0/t0/t0_120.cif,0.0,0.0,120.0,-936.24208,0.39772000000004937
L0_D0_U140,r0/t0/t0_140.cif,0.0,0.0,140.0,-936.15696,0.48284000000001015
L0_D0_U160,r0/t0/t0_160.cif,0.0,0.0,160.0,-936.07957,0.5602300000000469
L0_D0_U180,r0/t0/t0_180.cif,0.0,0.0,180.0,-936.04464,0.5951600000000781
L0_D0_U200,r0/t0/t0_200.cif,0.0,0.0,200.0,-935.906,0.7338000000000875
L0_D0_U220,r0/t0/t0_220.cif,0.0,0.0,220.0,-936.23142,0.40838000000007924
L0_D0_U240,r0/t0/t0_240.cif,0.0,0.0,240.0,-936.64097,-0.0011700000000018917
L0_D0_U260,r0/t0/t0_260.cif,0.0,0.0,260.0,-936.12068,0.5191200000000435
L0_D0_U280,r0/t0/t0_280.cif,0.0,0.0,280.0,-936.20716,0.43263999999999214
L0_D0_U300,r0/t0/t0_300.cif,0.0,0.0,300.0,-936.28232,0.35748000000000957
L0_D0_U320,r0/t0/t0_320.cif,0.0,0.0,320.0,-936.34674,0.29306000000008225
L0_D0_U340,r0/t0/t0_340.cif,0.0,0.0,340.0,-936.40345,0.23635000000001583
L0_D1.2_U0,r0/t1.2/t1.2_0.cif,0.0,1.2,0.0,-936.3593,0.2805000000000746
L0_D1.2_U20,r0/t1.2/t1.2_20.cif,0.0,1.2,20.0,-936.25036,0.389440000000036
L0_D1.2_U40,r0/t1.2/t1.2_40.cif,0.0,1.2,40.0,-936.11296,0.5268399999999929
L0_D1.2_U60,r0/t1.2/t1.2_60.cif,0.0,1.2,60.0,-936.08813,0.5516700000000583
L0_D1.2_U80,r0/t1.2/t1.2_80.cif,0.0,1.2,80.0,-936.0313,0.6085000000000491
L0_D1.2_U100,r0/t1.2/t1.2_100.cif,0.0,1.2,100.0,-936.10244,0.5373600000000351
L0_D1.2_U120,r0/t1.2/t1.2_120.cif,0.0,1.2,120.0,-936.24822,0.39158000000008997
L0_D1.2_U140,r0/t1.2/t1.2_140.cif,0.0,1.2,140.0,-936.31336,0.3264400000000478
L0_D1.2_U160,r0/t1.2/t1.2_160.cif,0.0,1.2,160.0,-936.18199,0.45780999999999494
L0_D1.2_U180,r0/t1.2/t1.2_180.cif,0.0,1.2,180.0,-936.11071,0.5290899999999965
L0_D1.2_U200,r0/t1.2/t1.2_200.cif,0.0,1.2,200.0,-936.06971,0.5700900000000502
L0_D1.2_U220,r0/t1.2/t1.2_220.cif,0.0,1.2,220.0,-936.23999,0.3998100000000022
L0_D1.2_U240,r0/t1.2/t1.2_240.cif,0.0,1.2,240.0,-936.6503,-0.010499999999979082
L0_D1.2_U260,r0/t1.2/t1.2_260.cif,0.0,1.2,260.0,-936.69374,-0.05394000000001142
L0_D1.2_U280,r0/t1.2/t1.2_280.cif,0.0,1.2,280.0,-936.19382,0.44598000000007687
