structure_id,relative_cif_path,lower_rotation,displacement,upper_rotation,energy,delta_energy,tsne_1,tsne_2
L0_D0_U0,r0/t0/t0_0.cif,0.0,0.0,0.0,-936.5095825195312,0.1302099972963333,22.449627,6.8641996
L0_D0_U100,r0/t0/t0_100.cif,0.0,0.0,100.0,-936.2015380859375,0.4382599890232086,41.56331,-4.945658
L0_D0_U120,r0/t0/t0_120.cif,0.0,0.0,120.0,-936.2420654296875,0.39772000908851624,37.089703,-1.8753748
L0_D0_U140,r0/t0/t0_140.cif,0.0,0.0,140.0,-936.156982421875,0.48284000158309937,18.58522,4.0856295
L0_D0_U160,r0/t0/t0_160.cif,0.0,0.0,160.0,-936.07958984375,0.560230016708374,-6.3445783,15.827563
L0_D0_U180,r0/t0/t0_180.cif,0.0,0.0,180.0,-936.0446166992188,0.5951600074768066,-3.5791273,20.843933
L0_D0_U20,r0/t0/t0_20.cif,0.0,0.0,20.0,-936.451171875,0.1886100023984909,1.5890536,19.133875
L0_D0_U200,r0/t0/t0_200.cif,0.0,0.0,200.0,-935.906005859375,0.7337999939918518,4.006262,31.793573
L0_D0_U220,r0/t0/t0_220.cif,0.0,0.0,220.0,-936.2314453125,0.40838000178337097,7.1274595,33.220024
L0_D0_U240,r0/t0/t0_240.cif,0.0,0.0,240.0,-936.6409912109375,-0.0011699999449774623,37.00167,16.382156
L0_D0_U260,r0/t0/t0_260.cif,0.0,0.0,260.0,-936.1206665039062,0.5191199779510498,39.14801,13.702725
L0_D0_U280,r0/t0/t0_280.cif,0.0,0.0,280.0,-936.2071533203125,0.4326399862766266,33.384308,-10.8739395
L0_D0_U300,r0/t0/t0_300.cif,0.0,0.0,300.0,-936.2823486328125,0.357479989528656,45.501045,-7.242178
L0_D0_U320,r0/t0/t0_320.cif,0.0,0.0,320.0,-936.3467407226562,0.2930600047111511,23.573227,3.0370538
L0_D0_U340,r0/t0/t0_340.cif,0.0,0.0,340.0,-936.4034423828125,0.23634999990463257,22.416573,5.834378
L0_D0_U40,r0/t0/t0_40.cif,0.0,0.0,40.0,-936.2039184570312,0.4358600080013275,0.0011715291,57.077904
L0_D0_U60,r0/t0/t0_60.cif,0.0,0.0,60.0,-936.1217041015625,0.5180799961090088,6.6786475,53.2059
