structure_id,relative_cif_path,lower_rotation,displacement,upper_rotation,energy,delta_energy,umap_1,umap_2
L0_D0_U0,r0/t0/t0_0.cif,0.0,0.0,0.0,-936.5095825195312,0.1302099972963333,3.6842,1.3433865
L0_D0_U100,r0/t0/t0_100.cif,0.0,0.0,100.0,-936.2015380859375,0.4382599890232086,2.7040222,-2.1247904
L0_D0_U120,r0/t0/t0_120.cif,0.0,0.0,120.0,-936.2420654296875,0.39772000908851624,3.7768073,-0.99185914
L0_D0_U140,r0/t0/t0_140.cif,0.0,0.0,140.0,-936.156982421875,0.48284000158309937,3.4100034,1.4333879
L0_D0_U160,r0/t0/t0_160.cif,0.0,0.0,160.0,-936.07958984375,0.560230016708374,3.398793,2.908506
L0_D0_U180,r0/t0/t0_180.cif,0.0,0.0,180.0,-936.0446166992188,0.5951600074768066,3.6528573,3.1244953
L0_D0_U20,r0/t0/t0_20.cif,0.0,0.0,20.0,-936.451171875,0.1886100023984909,3.7025237,1.807223
L0_D0_U200,r0/t0/t0_200.cif,0.0,0.0,200.0,-935.906005859375,0.7337999939918518,6.807497,2.0153866
L0_D0_U220,r0/t0/t0_220.cif,0.0,0.0,220.0,-936.2314453125,0.40838000178337097,6.7204213,1.7109149
L0_D0_U240,r0/t0/t0_240.cif,0.0,0.0,240.0,-936.6409912109375,-0.0011699999449774623,3.3661165,-3.401999
L0_D0_U260,r0/t0/t0_260.cif,0.0,0.0,260.0,-936.1206665039062,0.5191199779510498,3.7089052,-3.0384219
L0_D0_U280,r0/t0/t0_280.cif,0.0,0.0,280.0,-936.2071533203125,0.4326399862766266,-0.3423605,-3.4526286
L0_D0_U300,r0/t0/t0_300.cif,0.0,0.0,300.0,-936.2823486328125,0.357479989528656,2.648067,-1.6301423
L0_D0_U320,r0/t0/t0_320.cif,0.0,0.0,320.0,-936.3467407226562,0.2930600047111511,3.491776,0.91700304
L0_D0_U340,r0/t0/t0_340.cif,0.0,0.0,340.0,-936.4034423828125,0.23634999990463257,3.6247375,1.2215313
L0_D0_U40,r0/t0/t0_40.cif,0.0,0.0,40.0,-936.2039184570312,0.4358600080013275,6.593652,4.51772
L0_D0_U60,r0/t0/t0_60.cif,0.0,0.0,60.0,-936.1217041015625,0.5180799961090088,6.1904287,6.2165394
L0_D0_U80,r0/t0/t0_80.cif,0.0,0.0,80.0,-936.1058959960938,0.5338799953460693,-0.37072337,-3.4215803
L0_D1.2_U0,r0/t1.2/t1.2_0.cif,0.0,1.2000000476837158,0.0,-936.3593139648438,0.28049999475479126,3.4981837,2.3224223
L0_D1.2_U100,r0/t1.2/t1.2_100.cif,0.0,1.2000000476837158,100.0,-936.1024169921875,0.5373600125312805,3.2375507,-1.0232654
L0_D1.2_U120,r0/t1.2/t1.2_120.cif,0.0,1.2000000476837158,120.0,-936.2482299804688,0.3915799856185913,3.8000536,-1.0024931
L0_D1.2_U140,r0/t1.2/t1.2_140.cif,0.0,1.2000000476837158,140.0,-936.3133544921875,0.3264400064945221,3.3415685,1.4127614
L0_D1.2_U160,r0/t1.2/t1.2_160.cif,0.0,1.2000000476837158,160.0,-936.1820068359375,0.45781001448631287,3.4011965,2.8646514
L0_D1.2_U180,r0/t1.2/t1.2_180.cif,0.0,1.2000000476837158,180.0,-936.1107177734375,0.5290899872779846,3.6778698,3.185862
L0_D1.2_U20,r0/t1.2/t1.2_20.cif,0.0,1.2000000476837158,20.0,-936.2503662109375,0.38944000005722046,6.114007,3.9228122
L0_D1.2_U200,r0/t1.2/t1.2_200.cif,0.0,1.2000000476837158,200.0,-936.0697021484375,0.5700899958610535,6.856149,2.023907
L0_D1.2_U220,r0/t1.2/t1.2_220.cif,0.0,1.2000000476837158,220.0,-936.239990234375,0.39980998635292053,6.9464126,1.7821767
L0_D1.2_U240,r0/t1.2/t1.2_240.cif,0.0,1.2000000476837158,240.0,-936.6503295898438,-0.010499999858438969,3.3813827,-3.3639069
L0_D1.2_U260,r0/t1.2/t1.2_260.cif,0.0,1.2000000476837158,260.0,-936.6937255859375,-0.053939998149871826,3.1218457,-3.7529404
L0_D1.2_U280,r0/t1.2/t1.2_280.cif,0.0,1.2000000476837158,280.0,-936.19384765625,0.4459800124168396,-0.3473116,-3.4541116
L0_D1.2_U300,r0/t1.2/t1.2_300.cif,0.0,1.2000000476837158,300.0,-936.1797485351562,0.4600299894809723,2.7317853,-1.5140617
L0_D1.2_U320,r0/t1.2/t1.2_320.cif,0.0,1.2000000476837158,320.0,-936.346435546875,0.29337000846862793,3.445081,0.8320809
L0_D1.2_U340,r0/t1.2/t1.2_340.cif,0.0,1.2000000476837158,340.0,-936.4126586914062,0.22713999450206757,3.560104,1.3389721
L0_D1.2_U40,r0/t1.2/t1.2_40.cif,0.0,1.2000000476837158,40.0,-936.1129760742188,0.5268399715423584,6.5837193,4.5522614
L0_D1.2_U60,r0/t1.2/t1.2_60.cif,0.0,1.2000000476837158,60.0,-936.088134765625,0.5516700148582458,6.2324963,6.2533336
L0_D1.2_U80,r0/t1.2/t1.2_80.cif,0.0,1.2000000476837158,80.0,-936.0313110351562,0.6085000038146973,6.204443,6.1995416
L0_D2.4_U0,r0/t2.4/t2.4_0.cif,0.0,2.4000000953674316,0.0,-936.1618041992188,0.4779999852180481,3.6865742,2.4481442
L0_D2.4_U100,r0/t2.4/t2.4_100.cif,0.0,2.4000000953674316,100.0,-936.1903076171875,0.4494900107383728,3.142952,-1.0773704
L0_D2.4_U120,r0/t2.4/t2.4_120.cif,0.0,2.4000000953674316,120.0,-936.3414306640625,0.2983500063419342,3.7674806,-0.9795262
L0_D2.4_U140,r0/t2.4/t2.4_140.cif,0.0,2.4000000953674316,140.0,-936.3582763671875,0.2815200090408325,3.4247172,1.3769779
L0_D2.4_U160,r0/t2.4/t2.4_160.cif,0.0,2.4000000953674316,160.0,-936.2028198242188,0.43700000643730164,3.4316134,2.898713
L0_D2.4_U180,r0/t2.4/t2.4_180.cif,0.0,2.4000000953674316,180.0,-936.16015625,0.4796200096607208,3.7074924,3.2331793
L0_D2.4_U20,r0/t2.4/t2.4_20.cif,0.0,2.4000000953674316,20.0,-936.1475830078125,0.492220014333725,6.208798,3.846261
L0_D2.4_U200,r0/t2.4/t2.4_200.cif,0.0,2.4000000953674316,200.0,-936.1932983398438,0.44648000597953796,6.805301,2.158106
L0_D2.4_U220,r0/t2.4/t2.4_220.cif,0.0,2.4000000953674316,220.0,-936.5844116210938,0.055399999022483826,6.470569,1.5699037
