atom_index,atom_label,symbol,atomic_number,frac_x,frac_y,frac_z,x,y,z,structure_id,relative_cif_path,z_rank,layer_label,layer_name
50,H51,H,1,0.1185343405779657,0.3197512418557938,0.05906817653808,2.527288623802087,5.748849425532366,1.6574240691689637,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,0,0,lower
86,H87,H,1,0.6185300896527125,0.3195762765513492,0.0591598592670702,11.850437200006173,5.745734097583967,1.6599966415871668,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,1,0,lower
90,H91,H,1,0.6481122104220474,0.4483040807300346,0.0782233752480444,12.544300539943087,8.058991999265908,2.1949095520861777,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,2,0,lower
54,H55,H,1,0.1481036371080159,0.4484228520040797,0.078406144370123,3.2199727659997097,8.061166826054428,2.200037964029598,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,3,0,lower
89,H90,H,1,0.5520591073059379,0.453648141321974,0.0820831677652236,10.74952101333525,8.155777694614326,2.303213437442224,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,4,0,lower
99,H100,H,1,0.9249270864735348,0.2724104523265516,0.0822117372904699,17.418625411089565,4.905519836865312,2.306821035275678,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,5,0,lower
53,H54,H,1,0.0520387023531944,0.4536609703791106,0.0822163853874153,1.424960692156358,8.156040423519435,2.3069514585967417,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,6,0,lower
63,H64,H,1,0.425879175009833,0.27374787560969,0.0825406150257671,8.113664804962449,4.9295855993305215,2.316049183260644,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,7,0,lower
143,O144,O,8,0.8745874184885133,0.2689854488178239,0.0880402907619516,16.456456995222766,4.845525045562172,2.4703673876138845,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,8,0,lower
125,O126,O,8,0.3754300412216934,0.2701821472004771,0.0880740264923069,7.15015129892735,4.866994723182302,2.4713139956651027,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,9,0,lower
2,C3,C,6,0.1086981026449749,0.3423208968930371,0.0940669826313239,2.2705150163391035,6.162189180905704,2.6394734062383605,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,10,0,lower
26,C27,C,6,0.6086664993262099,0.3423093606872484,0.0941131034457927,11.5935507139366,6.161993597543818,2.640767533676694,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,11,0,lower
29,C30,C,6,0.6049929263745133,0.4267860759499585,0.096769197734371,11.648979809796364,7.677637331252769,2.7152962369799662,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,12,0,lower
5,C6,C,6,0.1049746140479751,0.4267779553736583,0.0968826137161283,2.324487212600818,7.67751949878055,2.718478633813764,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,13,0,lower
120,O121,O,8,0.0427311751646237,0.3133436472310738,0.1054839643009798,0.959603824097282,5.645314106913414,2.959828313492851,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,14,0,lower
138,O139,O,8,0.5427018362855582,0.3134344820402433,0.1055853653898568,10.282670289131872,5.646967980284852,2.962673578324016,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,15,0,lower
122,O123,O,8,0.2395203682851228,0.3284373585036833,0.121397019441436,4.6034538096325175,5.91990308294288,3.4063408376572277,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,16,0,lower
140,O141,O,8,0.7393980638295637,0.3283654718245189,0.1214482869927456,13.924687742152312,5.918626444872821,3.407779380007576,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,17,0,lower
1,C2,C,6,0.1684551943232511,0.3187942300268051,0.1342476563703785,3.223273140771461,5.750114641550875,3.76692340848451,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,18,0,lower
25,C26,C,6,0.668349965384121,0.3188914996934318,0.1343407524941072,12.544960294551448,5.751881880958025,3.769535640066009,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,19,0,lower
31,C32,C,6,0.8675890764116289,0.2918865018815783,0.1355928699981086,16.2141442397375,5.2678852453429625,3.8046694432437977,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,20,0,lower
7,C8,C,6,0.3678611254943794,0.2923989624024219,0.135677851598864,6.895969005563169,5.277096465848302,3.807053985289675,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,21,0,lower
92,H93,H,1,0.8725429064632688,0.3523994606871557,0.1395343861810532,16.388966794350782,6.3540816707195305,3.915266454587458,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,22,0,lower
56,H57,H,1,0.3725894420238454,0.3529013426874453,0.1399632151106248,7.065502134947371,6.363187462074373,3.927299184072,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,23,0,lower
55,H56,H,1,0.2802788767532899,0.2204663541709691,0.1402079272085962,5.136155915832245,3.9881783414049554,3.9341656855448033,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,24,0,lower
91,H92,H,1,0.7798553922412376,0.2203623389204659,0.1403798938077043,14.45134854833096,3.9863551003390207,3.938990983990765,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,25,0,lower
49,H50,H,1,0.1652864818949336,0.2606204343067393,0.1450710587871936,3.0395559217395305,4.709487615988367,4.070622772969989,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,26,0,lower
85,H86,H,1,0.6650995465856891,0.260796533317425,0.1452957984418394,12.359434059739764,4.712700837645566,4.076928857476704,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,27,0,lower
139,O140,O,8,0.6169156299546528,0.4424349494761835,0.1470996436312713,11.739526428970054,7.97061895266512,4.127543868964176,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,28,0,lower
121,O122,O,8,0.1168287476835874,0.442165451413169,0.1472448466866448,2.4132475024550937,7.965821407479042,4.131618195496634,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,29,0,lower
6,C7,C,6,0.2915122384022887,0.2793427481767517,0.1475099226902715,5.415082015020043,5.045848586947439,4.139056098176543,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,30,0,lower
30,C31,C,6,0.7912898391275898,0.2792070436059369,0.1476056750681921,14.734211448924146,5.043438352632341,4.1417428629481545,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,31,0,lower
88,H89,H,1,0.977290533980467,0.367082653310954,0.1517387076360057,18.32733772963033,6.620399376131977,4.257713730139853,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,32,0,lower
52,H53,H,1,0.4772744693867914,0.3674933321976043,0.1517447834626504,9.00387560940297,6.627765918647102,4.25788421485618,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,33,0,lower
4,C5,C,6,0.021620057080817,0.3225900572643222,0.152884225437262,0.433229823043242,5.822756662052965,4.289856397930516,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,34,0,lower
28,C29,C,6,0.5216117523476153,0.3229988987410438,0.1529926760267766,9.75716421509278,5.830115347011373,4.292899468292795,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,35,0,lower
144,O145,O,8,0.9970876028121762,0.2527579468979216,0.1635749592270613,18.480873597511582,4.573018660437041,4.589833145796908,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,36,0,lower
126,O127,O,8,0.4972001026432122,0.2532302974878688,0.1638081741560608,9.159200156006795,4.581546890697852,4.596377042346078,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,37,0,lower
57,H58,H,1,0.4163512755446281,0.1875349606349935,0.1646399515177051,7.546191024028023,3.403580517055336,4.6197163072460246,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,38,0,lower
93,H94,H,1,0.916208561117952,0.1871742556279474,0.1646889500913969,16.866599496512737,3.397123698488528,4.621091183197027,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,39,0,lower
32,C33,C,6,0.922810274690027,0.2466493364949366,0.1715829366417457,17.061360161375724,4.465430692039772,4.81453306528575,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,40,0,lower
8,C9,C,6,0.4229168090097289,0.2469871835519591,0.1716441653609282,7.739899013414374,4.471504598680452,4.816251113122086,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,41,0,lower
24,C25,C,6,0.6439938982803265,0.373864715393821,0.1719668114099484,12.059971124578592,6.746986201537769,4.825304403045866,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,42,0,lower
0,C1,C,6,0.1439830518379107,0.3734599482208749,0.1719777901052834,2.7353151748812663,6.7397298592377695,4.825612459853487,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,43,0,lower
3,C4,C,6,0.0815980546290745,0.3407861796155406,0.1932221546941108,1.4549018920252748,6.158970876964274,5.4217189128946375,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,44,0,lower
27,C28,C,6,0.5815676573202898,0.3414877724887447,0.1933084795879715,10.77895107051939,6.171574297814629,5.424141147086358,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,45,0,lower
124,O125,O,8,0.2860499580912289,0.293913121975154,0.1970113067156041,5.182327488814007,5.319285335889391,5.528040660580794,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,46,0,lower
142,O143,O,8,0.7860187511215242,0.2939482922387592,0.1970711848654055,14.505400943642162,5.319930751524879,5.529720812102558,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,47,0,lower
84,H85,H,1,0.6874807749368641,0.3856268481287662,0.1994910292111945,12.80384129912759,6.964673298586992,5.597620457857959,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,48,0,lower
48,H49,H,1,0.187403216888988,0.3851876281638325,0.1995554547753001,3.4777214879437963,6.956812186100284,5.59942820759524,L0_D1.2_U340,r0/t1.2/t1.2_340.cif,49,0,lower
