structure_id,relative_cif_path,lower_rotation,displacement,upper_rotation,energy,delta_energy,pca_1,pca_2,umap_1,umap_2,tsne_1,tsne_2
L0_D0_U0,r0/t0/t0_0.cif,0.0,0.0,0.0,-936.5095825195312,0.1302099972963333,2.698780377472653,-2.145542078073447,13.232353,-9.693111,16.256012,18.173557
L0_D0_U100,r0/t0/t0_100.cif,0.0,0.0,100.0,-936.2015380859376,0.4382599890232086,2.6132747491836454,-1.3423866399767723,11.643525,-9.549086,33.514286,17.76297
L0_D0_U120,r0/t0/t0_120.cif,0.0,0.0,120.0,-936.2420654296876,0.3977200090885162,4.023745528402515,-2.2812943069485705,11.926418,-9.504131,28.649391,20.207617
L0_D0_U140,r0/t0/t0_140.cif,0.0,0.0,140.0,-936.156982421875,0.4828400015830993,2.047857756670347,-4.149553099505636,12.978029,-9.0606365,15.751867,13.407825
L0_D0_U160,r0/t0/t0_160.cif,0.0,0.0,160.0,-936.07958984375,0.560230016708374,-0.14753217844204766,-2.7993502950603677,14.3679,-8.496241,-14.410838,7.230876
L0_D0_U180,r0/t0/t0_180.cif,0.0,0.0,180.0,-936.0446166992188,0.5951600074768066,-1.4261510523546657,-0.9569974498380129,14.578322,-8.6535225,-16.088469,12.464878
L0_D0_U20,r0/t0/t0_20.cif,0.0,0.0,20.0,-936.451171875,0.1886100023984909,-0.11173251392895073,-1.9283006451234603,14.012976,-8.9965515,-9.904644,13.880978
L0_D0_U200,r0/t0/t0_200.cif,0.0,0.0,200.0,-935.906005859375,0.7337999939918518,-2.9001270884185595,-0.2898876292250058,15.275859,-8.68495,-14.388666,25.888298
L0_D0_U220,r0/t0/t0_220.cif,0.0,0.0,220.0,-936.2314453125,0.4083800017833709,-3.724570720856391,-1.8103656790224483,14.104538,-8.733578,-11.827357,28.51192
L0_D0_U240,r0/t0/t0_240.cif,0.0,0.0,240.0,-936.6409912109376,-0.0011699999449774,1.35114349840031,0.5303518921095306,12.235369,-8.951183,17.561806,37.692066
L0_D0_U260,r0/t0/t0_260.cif,0.0,0.0,260.0,-936.1206665039062,0.5191199779510498,-0.372232838089831,-0.2826795770779453,12.199936,-9.079405,20.87557,36.58054
L0_D0_U280,r0/t0/t0_280.cif,0.0,0.0,280.0,-936.2071533203124,0.4326399862766266,2.7984957981423393,-3.398510262447877,9.770238,-9.697682,31.907904,10.012086
L0_D0_U300,r0/t0/t0_300.cif,0.0,0.0,300.0,-936.2823486328124,0.357479989528656,4.63291611947085,-2.2935180616977737,11.698605,-9.8712435,37.7203,19.048893
L0_D0_U320,r0/t0/t0_320.cif,0.0,0.0,320.0,-936.3467407226562,0.2930600047111511,5.501607230924181,-1.0093579201986216,12.604609,-9.57147,20.056742,16.48073
L0_D0_U340,r0/t0/t0_340.cif,0.0,0.0,340.0,-936.4034423828124,0.2363499999046325,3.9473312219726164,-1.2328084620129178,13.005187,-9.591635,16.853773,17.52343
L0_D0_U40,r0/t0/t0_40.cif,0.0,0.0,40.0,-936.2039184570312,0.4358600080013275,-2.277769767548477,2.1598403755049054,16.297321,-8.729269,-29.92948,39.675644
L0_D0_U60,r0/t0/t0_60.cif,0.0,0.0,60.0,-936.1217041015624,0.5180799961090088,-3.6964584058861574,-0.028167402659888117,16.630793,-7.686555,-22.75807,42.93756
L0_D0_U80,r0/t0/t0_80.cif,0.0,0.0,80.0,-936.1058959960938,0.5338799953460693,0.3913102693747891,-2.3811598167468664,9.91183,-9.787215,30.495186,10.429236
L0_D1.2_U0,r0/t1.2/t1.2_0.cif,0.0,1.2000000476837158,0.0,-936.3593139648438,0.2804999947547912,-0.7230805332310397,-2.7378723719353166,14.452628,-8.7918625,-10.605814,12.379687
L0_D1.2_U100,r0/t1.2/t1.2_100.cif,0.0,1.2000000476837158,100.0,-936.1024169921876,0.5373600125312805,0.5020102794657926,-3.103121511933005,12.188386,-9.473132,23.011454,25.891832
L0_D1.2_U120,r0/t1.2/t1.2_120.cif,0.0,1.2000000476837158,120.0,-936.2482299804688,0.3915799856185913,3.838871985181531,-1.2246216872602802,11.87737,-9.585458,29.184814,20.528553
L0_D1.2_U140,r0/t1.2/t1.2_140.cif,0.0,1.2000000476837158,140.0,-936.3133544921876,0.3264400064945221,3.420483104617424,-3.022101914403318,12.879304,-8.933532,17.076168,13.823887
L0_D1.2_U160,r0/t1.2/t1.2_160.cif,0.0,1.2000000476837158,160.0,-936.1820068359376,0.4578100144863128,-0.3150073640106732,-2.818535173486798,14.364452,-8.4835205,-14.561657,7.4193096
L0_D1.2_U180,r0/t1.2/t1.2_180.cif,0.0,1.2000000476837158,180.0,-936.1107177734376,0.5290899872779846,-1.563332052910518,-0.19573900722579843,14.740697,-8.686048,-16.38446,12.488283
L0_D1.2_U20,r0/t1.2/t1.2_20.cif,0.0,1.2000000476837158,20.0,-936.2503662109376,0.3894400000572204,-1.4284406266214864,0.29557637679227744,15.683672,-8.749305,-19.475325,21.089363
L0_D1.2_U200,r0/t1.2/t1.2_200.cif,0.0,1.2000000476837158,200.0,-936.0697021484376,0.5700899958610535,-3.0317669938597307,0.19885108277910132,15.265754,-8.674608,-14.9080305,25.149857
L0_D1.2_U220,r0/t1.2/t1.2_220.cif,0.0,1.2000000476837158,220.0,-936.239990234375,0.3998099863529205,-4.183562804540993,-1.4193488298693415,15.092707,-8.588755,-11.795321,28.78881
L0_D1.2_U240,r0/t1.2/t1.2_240.cif,0.0,1.2000000476837158,240.0,-936.6503295898438,-0.0104999998584389,1.5455833172343605,0.4915233066734437,12.3661785,-8.935606,17.513304,37.598007
L0_D1.2_U260,r0/t1.2/t1.2_260.cif,0.0,1.2000000476837158,260.0,-936.6937255859376,-0.0539399981498718,5.514481847483171,5.304034939987484,10.948717,-9.017528,46.140522,-1.8611834
L0_D1.2_U280,r0/t1.2/t1.2_280.cif,0.0,1.2000000476837158,280.0,-936.19384765625,0.4459800124168396,1.9615526826489058,-3.643174256667263,9.84651,-9.762713,31.429745,10.508038
L0_D1.2_U300,r0/t1.2/t1.2_300.cif,0.0,1.2000000476837158,300.0,-936.1797485351562,0.4600299894809723,4.076312500709643,-3.5222949046754133,11.890772,-9.9079485,37.554325,20.216879
L0_D1.2_U320,r0/t1.2/t1.2_320.cif,0.0,1.2000000476837158,320.0,-936.346435546875,0.2933700084686279,4.8564864274826265,-1.9909048406932341,12.456167,-9.582125,20.656883,16.167286
L0_D1.2_U340,r0/t1.2/t1.2_340.cif,0.0,1.2000000476837158,340.0,-936.4126586914062,0.2271399945020675,2.390984116121783,-3.326360199437509,13.109457,-9.456464,16.006393,17.13649
L0_D1.2_U40,r0/t1.2/t1.2_40.cif,0.0,1.2000000476837158,40.0,-936.1129760742188,0.5268399715423584,-2.0186555500923573,2.24377504932089,16.322805,-8.648068,-29.994123,40.02362
L0_D1.2_U60,r0/t1.2/t1.2_60.cif,0.0,1.2000000476837158,60.0,-936.088134765625,0.5516700148582458,-3.0129200334112456,-0.3953956189374651,16.582302,-7.870352,-22.245422,43.00142
L0_D1.2_U80,r0/t1.2/t1.2_80.cif,0.0,1.2000000476837158,80.0,-936.0313110351562,0.6085000038146973,-3.185840624759723,-0.7455186237889639,16.630777,-7.7966495,-21.712322,43.071217
L0_D2.4_U0,r0/t2.4/t2.4_0.cif,0.0,2.400000095367432,0.0,-936.1618041992188,0.4779999852180481,-1.2594704261100806,-1.5848273982268726,14.7141285,-8.724118,-10.99808,12.764656
L0_D2.4_U100,r0/t2.4/t2.4_100.cif,0.0,2.400000095367432,100.0,-936.1903076171876,0.4494900107383728,0.5680576184682852,-2.9615277012204353,12.154605,-9.369834,22.845766,25.943316
L0_D2.4_U120,r0/t2.4/t2.4_120.cif,0.0,2.400000095367432,120.0,-936.3414306640624,0.2983500063419342,3.293798476036889,-1.6860658521491838,11.948655,-9.544337,28.92226,20.810541
L0_D2.4_U140,r0/t2.4/t2.4_140.cif,0.0,2.400000095367432,140.0,-936.3582763671876,0.2815200090408325,3.0289070587466695,-3.2010069976886526,12.917713,-9.162433,16.491177,13.732651
L0_D2.4_U160,r0/t2.4/t2.4_160.cif,0.0,2.400000095367432,160.0,-936.2028198242188,0.4370000064373016,-0.9668036912467828,-2.803174685223571,14.397681,-8.562827,-14.852365,7.6832876
L0_D2.4_U180,r0/t2.4/t2.4_180.cif,0.0,2.400000095367432,180.0,-936.16015625,0.4796200096607208,-1.8607556183026013,0.7767537936184085,14.705789,-8.649099,-16.953642,12.7551155
L0_D2.4_U20,r0/t2.4/t2.4_20.cif,0.0,2.400000095367432,20.0,-936.1475830078124,0.492220014333725,-1.5224928004048357,-0.049762949162394654,15.539686,-8.87041,-19.102339,21.411255
L0_D2.4_U200,r0/t2.4/t2.4_200.cif,0.0,2.400000095367432,200.0,-936.1932983398438,0.4464800059795379,-2.954707504073584,0.32910276356929746,15.333786,-8.733237,-15.23146,24.696571
L0_D2.4_U220,r0/t2.4/t2.4_220.cif,0.0,2.400000095367432,220.0,-936.5844116210938,0.0553999990224838,-2.421994739553656,-1.898900876892987,13.538194,-8.946219,9.062173,12.037107
L0_D2.4_U240,r0/t2.4/t2.4_240.cif,0.0,2.400000095367432,240.0,-936.7237548828124,-0.0839599967002868,4.756782380364453,-1.218468324969381,12.680811,-9.411898,18.197563,15.1157675
L0_D2.4_U260,r0/t2.4/t2.4_260.cif,0.0,2.400000095367432,260.0,-936.7849731445312,-0.1451500058174133,4.403708649956053,3.867863012386951,11.1018505,-9.087399,46.05804,-1.8496835
L0_D2.4_U280,r0/t2.4/t2.4_280.cif,0.0,2.400000095367432,280.0,-936.2855224609376,0.3542799949645996,2.0109253455407474,-3.5303534048173613,9.866985,-9.737536,31.34929,10.507087
L0_D2.4_U300,r0/t2.4/t2.4_300.cif,0.0,2.400000095367432,300.0,-936.1840209960938,0.4557499885559082,4.115970686816192,-3.076240277591216,11.942373,-9.953756,37.59521,20.353952
L0_D2.4_U320,r0/t2.4/t2.4_320.cif,0.0,2.400000095367432,320.0,-936.2109985351562,0.4288200139999389,3.8208439268472114,-3.5710889144311437,12.466376,-9.597793,21.0434,15.322554
L0_D2.4_U340,r0/t2.4/t2.4_340.cif,0.0,2.400000095367432,340.0,-936.1056518554688,0.5341299772262573,-0.7093868368779763,-4.072902722479062,14.2312975,-8.615376,-8.46299,7.7452645
