atom_index,atom_label,symbol,atomic_number,frac_x,frac_y,frac_z,x,y,z,structure_id,relative_cif_path
0,C1,C,6,0.1438488699775744,0.34180072749023344,0.2141967838409086,2.8663177786580927,6.2104235850339835,5.925923430911957,L60_D4.8_U180,r60/t4.8/t4.8_180.cif
1,C2,C,6,0.1654739611073922,0.3655135312463688,0.1645756084319534,3.3837166400545184,6.6356980577112346,4.553114368364492,L60_D4.8_U180,r60/t4.8/t4.8_180.cif
2,C3,C,6,0.10881604041821852,0.43070245303240773,0.15634474232018583,2.432388462564054,7.815914645771875,4.325400947678166,L60_D4.8_U180,r60/t4.8/t4.8_180.cif
3,C4,C,6,0.0783167744570138,0.2975039267977364,0.20535501795666328,1.5874340265950273,5.407200349924616,5.681308984865916,L60_D4.8_U180,r60/t4.8/t4.8_180.cif
4,C5,C,6,0.01837525442113221,0.34294716298885314,0.17399817668706913,0.5813909552039346,6.227712830584705,4.813797171351066,L60_D4.8_U180,r60/t4.8/t4.8_180.cif
5,C6,C,6,0.1106000397696047,0.4683227744923752,0.20532792490250074,2.4452293022395337,8.50166426199746,5.680559434094902,L60_D4.8_U180,r60/t4.8/t4.8_180.cif
6,C7,C,6,0.2841940067640669,0.328608213490203,0.14938724899686018,5.575497333557599,5.965825854067124,4.132916392281053,L60_D4.8_U180,r60/t4.8/t4.8_180.cif
7,C8,C,6,0.3617058300927928,0.3506248452824973,0.15035430170819966,7.057916577085261,6.364751508551718,4.159670670371941,L60_D4.8_U180,r60/t4.8/t4.8_180.cif
8,C9,C,6,0.41120940867745903,0.28039925212133615,0.1416124345064505,7.894277578958706,5.091824270614342,3.91782000038596,L60_D4.8_U180,r60/t4.8/t4.8_180.cif
9,C10,C,6,0.39927181411970714,0.21642310177518853,0.17574804811343245,7.52269188737937,3.9358195522580997,4.862208748316067,L60_D4.8_U180,r60/t4.8/t4.8_180.cif
10,C11,C,6,0.3200569272603794,0.20191700252373798,0.16819977156559193,6.029780679182568,3.6723812644685236,4.653379707768594,L60_D4.8_U180,r60/t4.8/t4.8_180.cif
11,C12,C,6,0.2940437714478282,0.13910460984806136,0.19705007468691751,5.404617438641674,2.5370011633018317,5.45154616101729,L60_D4.8_U180,r60/t4.8/t4.8_180.cif
12,C13,C,6,0.9588773446572145,0.15502881154143597,0.5160450939566661,17.378919477373483,2.8530832302777296,14.276795658875463,L60_D4.8_U180,r60/t4.8/t4.8_180.cif
13,C14,C,6,0.9844164078300602,0.21643792447872484,0.5488416305550281,17.897039163135727,3.9683774657463196,15.184137782300365,L60_D4.8_U180,r60/t4.8/t4.8_180.cif
14,C15,C,6,0.9376611986043678,0.20403178076231038,0.5912783352405201,16.937085555979117,3.747306842149845,16.358182780161904,L60_D4.8_U180,r60/t4.8/t4.8_180.cif
