structure_id,relative_cif_path,atom_count,cell_a,cell_b,cell_c,cell_alpha,cell_beta,cell_gamma,pbc_x,pbc_y,pbc_z,count_C,count_H,count_O,unique_elements
L0_D0_U0,r0/t0/t0_0.cif,156,18.69918068417069,17.907993027120504,28.18009290793195,90.02849606121295,94.22095021515688,85.65361407988485,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L0_D0_U20,r0/t0/t0_20.cif,156,18.71102607865692,18.196940251774286,27.76106254311865,88.62431640922203,94.01904549688591,84.67021016424276,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L0_D0_U40,r0/t0/t0_40.cif,156,18.74194756477186,17.944287019242623,28.144615366773433,89.98189343643938,94.66272239547894,84.1033042189821,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L0_D0_U60,r0/t0/t0_60.cif,156,18.703982604496737,17.909626451480566,28.203958574425528,89.95289062340665,94.0580160212641,84.71137348465301,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L0_D0_U80,r0/t0/t0_80.cif,156,18.734435557800552,18.234442068171195,27.898070928712066,88.43491073408613,97.22417171748296,83.40877456691145,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L0_D0_U100,r0/t0/t0_100.cif,156,18.714151526142835,18.155433742305544,27.934679719096994,91.19383581223497,96.89615575967491,84.83223667018879,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L0_D0_U120,r0/t0/t0_120.cif,156,18.682310643388888,18.036527983314382,28.00095389750961,90.14510490331469,93.95279336169044,85.4942262960845,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L0_D0_U140,r0/t0/t0_140.cif,156,18.694946777079387,18.007393903853515,28.016274018798825,89.45208157054229,93.10807296404752,85.19865552710873,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L0_D0_U160,r0/t0/t0_160.cif,156,18.705310773066685,17.814865538427718,28.30461777809647,89.5287336316808,93.21958056710139,85.23061969658856,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L0_D0_U180,r0/t0/t0_180.cif,156,18.70473296889548,17.672424345658992,28.503664795421017,89.39520823720282,92.39121358225992,85.4810628389659,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L0_D0_U200,r0/t0/t0_200.cif,156,18.705839817811064,17.73693080412031,28.398228528905978,89.91982314304103,92.34462046484133,85.39780476547952,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L0_D0_U220,r0/t0/t0_220.cif,156,18.728590092740664,18.516463695707312,27.22623919142081,90.07612101228467,84.48645338204095,86.86258621695876,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L0_D0_U240,r0/t0/t0_240.cif,156,18.822759881438664,19.192365275011817,26.465475388197728,87.18393293805896,79.37658029985204,88.38441753500814,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L0_D0_U260,r0/t0/t0_260.cif,156,18.70974749354584,17.903756657563775,28.131996871972962,91.35177973170552,92.26539769474994,85.39217495439154,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L0_D0_U280,r0/t0/t0_280.cif,156,18.687915181153574,18.038183135943456,27.983197686469854,90.04664584710923,93.86237831458519,85.59736197246103,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L0_D0_U300,r0/t0/t0_300.cif,156,18.677077241624655,18.027522520705073,28.02467862782114,90.3944711812584,93.80480131521466,85.31908877028727,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L0_D0_U320,r0/t0/t0_320.cif,156,18.73486099909626,17.636564699553738,28.513752104843928,90.8197731122198,92.99777178650355,85.87980929673088,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L0_D0_U340,r0/t0/t0_340.cif,156,18.727541261533382,17.423469803864908,28.920781002719583,89.98466910709774,92.85651650769074,84.63845994739484,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L0_D1.2_U0,r0/t1.2/t1.2_0.cif,156,18.686184144034158,18.152164449140926,27.8706079800213,90.26083608112053,94.91455192555577,85.05694037840938,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L0_D1.2_U20,r0/t1.2/t1.2_20.cif,156,18.681408829842756,17.958709577263846,28.114060149949623,89.50580850582871,93.70708189036202,85.59928715628752,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L0_D1.2_U40,r0/t1.2/t1.2_40.cif,156,18.712292991941194,17.72984165356934,28.44781471098,90.2781038746234,93.43136018423219,84.89588776805466,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L0_D1.2_U60,r0/t1.2/t1.2_60.cif,156,18.722119665722772,17.633269660443357,28.602401393854688,91.01721603635659,93.51153151827428,84.69222752161328,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L0_D1.2_U80,r0/t1.2/t1.2_80.cif,156,18.693885852782287,17.50580220762823,28.897608734351525,89.45502245241171,93.23212189297139,83.71041690578618,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L0_D1.2_U100,r0/t1.2/t1.2_100.cif,156,18.715274377550944,17.799161341523597,28.313653306156493,93.48596847041568,92.24942871191183,85.8407087192196,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L0_D1.2_U120,r0/t1.2/t1.2_120.cif,156,18.682016175085675,17.960629357033344,28.110193740074596,90.86881988107822,93.8855581687649,85.7225303299872,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
L0_D1.2_U140,r0/t1.2/t1.2_140.cif,156,18.72397370174475,18.39547118813225,27.386040351408486,88.9470495603812,92.94377201366446,85.12277701141299,True,True,True,48,72,36,"[""C"", ""H"", ""O""]"
