structure_id,relative_cif_path,graph_file,num_nodes,num_edges,node_feature_dim,edge_feature_dim,energy,delta_energy,lower_rotation,displacement,upper_rotation
L0_D0_U0,r0/t0/t0_0.cif,L0_D0_U0.pkl,156,3814,4,3,-936.50959,0.1302100000000337,0.0,0.0,0.0
L0_D0_U100,r0/t0/t0_100.cif,L0_D0_U100.pkl,156,3762,4,3,-936.20154,0.4382600000000138,0.0,0.0,100.0
L0_D0_U120,r0/t0/t0_120.cif,L0_D0_U120.pkl,156,3768,4,3,-936.24208,0.3977200000000493,0.0,0.0,120.0
L0_D0_U140,r0/t0/t0_140.cif,L0_D0_U140.pkl,156,3722,4,3,-936.15696,0.4828400000000101,0.0,0.0,140.0
L0_D0_U160,r0/t0/t0_160.cif,L0_D0_U160.pkl,156,3652,4,3,-936.07957,0.5602300000000469,0.0,0.0,160.0
L0_D0_U180,r0/t0/t0_180.cif,L0_D0_U180.pkl,156,3630,4,3,-936.04464,0.5951600000000781,0.0,0.0,180.0
L0_D0_U20,r0/t0/t0_20.cif,L0_D0_U20.pkl,156,3766,4,3,-936.45119,0.1886100000000397,0.0,0.0,20.0
L0_D0_U200,r0/t0/t0_200.cif,L0_D0_U200.pkl,156,3610,4,3,-935.906,0.7338000000000875,0.0,0.0,200.0
L0_D0_U220,r0/t0/t0_220.cif,L0_D0_U220.pkl,156,3638,4,3,-936.23142,0.4083800000000792,0.0,0.0,220.0
L0_D0_U240,r0/t0/t0_240.cif,L0_D0_U240.pkl,156,3786,4,3,-936.64097,-0.0011700000000018,0.0,0.0,240.0
L0_D0_U260,r0/t0/t0_260.cif,L0_D0_U260.pkl,156,3712,4,3,-936.12068,0.5191200000000435,0.0,0.0,260.0
L0_D0_U280,r0/t0/t0_280.cif,L0_D0_U280.pkl,156,3724,4,3,-936.20716,0.4326399999999921,0.0,0.0,280.0
L0_D0_U300,r0/t0/t0_300.cif,L0_D0_U300.pkl,156,3750,4,3,-936.28232,0.3574800000000095,0.0,0.0,300.0
L0_D0_U320,r0/t0/t0_320.cif,L0_D0_U320.pkl,156,3824,4,3,-936.34674,0.2930600000000822,0.0,0.0,320.0
L0_D0_U340,r0/t0/t0_340.cif,L0_D0_U340.pkl,156,3814,4,3,-936.40345,0.2363500000000158,0.0,0.0,340.0
L0_D0_U40,r0/t0/t0_40.cif,L0_D0_U40.pkl,156,3622,4,3,-936.20394,0.4358600000000479,0.0,0.0,40.0
L0_D0_U60,r0/t0/t0_60.cif,L0_D0_U60.pkl,156,3640,4,3,-936.12172,0.5180800000000545,0.0,0.0,60.0
L0_D0_U80,r0/t0/t0_80.cif,L0_D0_U80.pkl,156,3718,4,3,-936.10592,0.5338800000000674,0.0,0.0,80.0
L0_D1.2_U0,r0/t1.2/t1.2_0.cif,L0_D1.2_U0.pkl,156,3642,4,3,-936.3593,0.2805000000000746,0.0,1.2,0.0
L0_D1.2_U100,r0/t1.2/t1.2_100.cif,L0_D1.2_U100.pkl,156,3636,4,3,-936.10244,0.5373600000000351,0.0,1.2,100.0
L0_D1.2_U120,r0/t1.2/t1.2_120.cif,L0_D1.2_U120.pkl,156,3738,4,3,-936.24822,0.3915800000000899,0.0,1.2,120.0
L0_D1.2_U140,r0/t1.2/t1.2_140.cif,L0_D1.2_U140.pkl,156,3730,4,3,-936.31336,0.3264400000000478,0.0,1.2,140.0
L0_D1.2_U160,r0/t1.2/t1.2_160.cif,L0_D1.2_U160.pkl,156,3610,4,3,-936.18199,0.4578099999999949,0.0,1.2,160.0
L0_D1.2_U180,r0/t1.2/t1.2_180.cif,L0_D1.2_U180.pkl,156,3566,4,3,-936.11071,0.5290899999999965,0.0,1.2,180.0
L0_D1.2_U20,r0/t1.2/t1.2_20.cif,L0_D1.2_U20.pkl,156,3586,4,3,-936.25036,0.389440000000036,0.0,1.2,20.0
L0_D1.2_U200,r0/t1.2/t1.2_200.cif,L0_D1.2_U200.pkl,156,3544,4,3,-936.06971,0.5700900000000502,0.0,1.2,200.0
L0_D1.2_U220,r0/t1.2/t1.2_220.cif,L0_D1.2_U220.pkl,156,3562,4,3,-936.23999,0.3998100000000022,0.0,1.2,220.0
L0_D1.2_U240,r0/t1.2/t1.2_240.cif,L0_D1.2_U240.pkl,156,3776,4,3,-936.6503,-0.010499999999979,0.0,1.2,240.0
L0_D1.2_U260,r0/t1.2/t1.2_260.cif,L0_D1.2_U260.pkl,156,3880,4,3,-936.69374,-0.0539400000000114,0.0,1.2,260.0
L0_D1.2_U280,r0/t1.2/t1.2_280.cif,L0_D1.2_U280.pkl,156,3640,4,3,-936.19382,0.4459800000000768,0.0,1.2,280.0
L0_D1.2_U300,r0/t1.2/t1.2_300.cif,L0_D1.2_U300.pkl,156,3668,4,3,-936.17977,0.4600300000000743,0.0,1.2,300.0
