structure_id,relative_cif_path,cluster_label,energy,delta_energy,lower_rotation,displacement,upper_rotation
L100_D2.4_U220,r100/t2.4/t2.4_220.cif,-1,-937.249267578125,-0.6094800233840942,100.0,2.400000095367432,220.0
L80_D3.6_U80,r80/t3.6/t3.6_80.cif,-1,-937.2129516601562,-0.5731499791145325,80.0,3.5999999046325684,80.0
L100_D3.6_U80,r100/t3.6/t3.6_80.cif,-1,-937.2032470703124,-0.5634199976921082,100.0,3.5999999046325684,80.0
L320_D7.2_U60,r320/t7.2/t7.2_60.cif,-1,-937.197021484375,-0.5572199821472168,320.0,7.199999809265137,60.0
L100_D4.8_U80,r100/t4.8/t4.8_80.cif,-1,-937.189697265625,-0.5498999953269958,100.0,4.800000190734863,80.0
L100_D1.2_U220,r100/t1.2/t1.2_220.cif,-1,-937.189453125,-0.5496500134468079,100.0,1.2000000476837158,220.0
L80_D3.6_U100,r80/t3.6/t3.6_100.cif,-1,-937.1881103515624,-0.54830002784729,80.0,3.5999999046325684,100.0
L80_D4.8_U80,r80/t4.8/t4.8_80.cif,-1,-937.1862182617188,-0.5464299917221069,80.0,4.800000190734863,80.0
L320_D6_U60,r320/t6.0/t6.0_60.cif,-1,-937.1835327148438,-0.543749988079071,320.0,6.0,60.0
L100_D1.2_U240,r100/t1.2/t1.2_240.cif,-1,-937.1744384765624,-0.5346300005912781,100.0,1.2000000476837158,240.0
L280_D4.8_U260,r280/t4.8/t4.8_260.cif,-1,-937.1690063476562,-0.5292099714279175,280.0,4.800000190734863,260.0
L100_D9.6_U220,r100/t9.6/t9.6_220.cif,-1,-937.1297607421876,-0.489980012178421,100.0,9.600000381469728,220.0
L80_D6_U100,r80/t6.0/t6.0_100.cif,-1,-937.1290893554688,-0.4892700016498565,80.0,6.0,100.0
L80_D4.8_U100,r80/t4.8/t4.8_100.cif,-1,-937.1248779296876,-0.4850800037384033,80.0,4.800000190734863,100.0
L80_D6_U80,r80/t6.0/t6.0_80.cif,-1,-937.1195068359376,-0.4796800017356872,80.0,6.0,80.0
