query_structure_id,neighbor_structure_id,rank,similarity_score,distance_metric
L0_D0_U0,L0_D3.6_U340,1,0.9200710256722784,cosine
L0_D0_U0,L0_D7.2_U0,2,0.9198913969774406,cosine
L0_D0_U0,L0_D4.8_U340,3,0.9154106812751597,cosine
L0_D0_U0,L0_D0_U340,4,0.9131980459631592,cosine
L0_D0_U0,L0_D1.2_U340,5,0.9117421474635822,cosine
L0_D0_U0,L20_D3.6_U340,6,0.9099053532355816,cosine
L0_D0_U0,L20_D9.6_U340,7,0.8906400041548258,cosine
L0_D0_U0,L0_D8.4_U340,8,0.8877650181325578,cosine
L0_D0_U0,L0_D0_U20,9,0.8859518263638847,cosine
L0_D0_U0,L0_D9.6_U340,10,0.8838457504959346,cosine
L0_D0_U100,L340_D2.4_U100,1,0.8941366597816687,cosine
L0_D0_U100,L340_D0_U100,2,0.893364614484362,cosine
L0_D0_U100,L20_D4.8_U100,3,0.8903462776868226,cosine
L0_D0_U100,L340_D1.2_U100,4,0.8839883912243,cosine
L0_D0_U100,L340_D3.6_U100,5,0.8515249795243538,cosine
L0_D0_U100,L0_D3.6_U260,6,0.8451599119596147,cosine
L0_D0_U100,L20_D4.8_U300,7,0.8301117781742549,cosine
L0_D0_U100,L340_D2.4_U300,8,0.8246534446794337,cosine
L0_D0_U100,L0_D0_U300,9,0.8225835865520684,cosine
L0_D0_U100,L0_D3.6_U300,10,0.819439305322767,cosine
L0_D0_U120,L0_D3.6_U120,1,0.9714144557083974,cosine
L0_D0_U120,L0_D1.2_U120,2,0.9669337901534202,cosine
L0_D0_U120,L0_D2.4_U120,3,0.9650672024175253,cosine
L0_D0_U120,L0_D7.2_U120,4,0.9645635045289984,cosine
L0_D0_U120,L0_D6_U120,5,0.9579990350950884,cosine
L0_D0_U120,L340_D0_U120,6,0.9458645736538298,cosine
L0_D0_U120,L340_D3.6_U120,7,0.937715967894895,cosine
L0_D0_U120,L340_D2.4_U120,8,0.9308536848953407,cosine
L0_D0_U120,L0_D8.4_U120,9,0.9294153476666711,cosine
L0_D0_U120,L340_D4.8_U120,10,0.9105591153813548,cosine
L0_D0_U140,L0_D3.6_U140,1,0.9669914439053942,cosine
L0_D0_U140,L0_D2.4_U140,2,0.9585456682256457,cosine
L0_D0_U140,L0_D4.8_U140,3,0.9486609132403515,cosine
L0_D0_U140,L0_D7.2_U140,4,0.921588647177962,cosine
L0_D0_U140,L20_D1.2_U140,5,0.9214825515778399,cosine
L0_D0_U140,L0_D1.2_U140,6,0.9206296640088626,cosine
L0_D0_U140,L0_D9.6_U140,7,0.9067863473241375,cosine
L0_D0_U140,L0_D8.4_U140,8,0.9024297492994968,cosine
L0_D0_U140,L340_D0_U140,9,0.8823568607222411,cosine
L0_D0_U140,L340_D2.4_U240,10,0.8779974933134491,cosine
L0_D0_U160,L0_D1.2_U160,1,0.9925021311695688,cosine
L0_D0_U160,L0_D2.4_U160,2,0.9596684997605296,cosine
L0_D0_U160,L0_D7.2_U160,3,0.9305686051993068,cosine
L0_D0_U160,L0_D8.4_U160,4,0.930566913000574,cosine
L0_D0_U160,L0_D9.6_U160,5,0.9204257508781032,cosine
L0_D0_U160,L340_D0_U160,6,0.9171049385234545,cosine
L0_D0_U160,L340_D1.2_U160,7,0.9133176482089422,cosine
L0_D0_U160,L0_D0_U180,8,0.9114783476388764,cosine
L0_D0_U160,L0_D6_U160,9,0.9085681624713167,cosine
L0_D0_U160,L340_D2.4_U160,10,0.8954959536623359,cosine
L0_D0_U180,L0_D1.2_U180,1,0.9745997935844063,cosine
L0_D0_U180,L0_D8.4_U180,2,0.9576153059346617,cosine
L0_D0_U180,L0_D9.6_U180,3,0.9498523976543872,cosine
L0_D0_U180,L0_D7.2_U180,4,0.9308405523815932,cosine
L0_D0_U180,L0_D0_U160,5,0.9114783476388764,cosine
L0_D0_U180,L0_D2.4_U180,6,0.9069175721907973,cosine
L0_D0_U180,L0_D1.2_U160,7,0.9048300318368168,cosine
L0_D0_U180,L0_D6_U180,8,0.8993882450319681,cosine
L0_D0_U180,L0_D2.4_U160,9,0.8937569732614014,cosine
L0_D0_U180,L340_D0_U180,10,0.8848794829558745,cosine
L0_D0_U20,L0_D1.2_U0,1,0.8929790870562133,cosine
L0_D0_U20,L0_D0_U0,2,0.8859518263638847,cosine
L0_D0_U20,L0_D1.2_U340,3,0.8841784630526268,cosine
L0_D0_U20,L0_D3.6_U0,4,0.877085967823424,cosine
L0_D0_U20,L20_D0_U20,5,0.8636696314454462,cosine
L0_D0_U20,L0_D7.2_U0,6,0.8479724907999862,cosine
L0_D0_U20,L0_D2.4_U340,7,0.8432590025425307,cosine
L0_D0_U20,L0_D8.4_U0,8,0.8362880728099173,cosine
L0_D0_U20,L0_D6_U340,9,0.8335475790461169,cosine
L0_D0_U20,L0_D3.6_U340,10,0.8319561145485922,cosine
L0_D0_U200,L0_D7.2_U200,1,0.9688531742439402,cosine
L0_D0_U200,L0_D9.6_U200,2,0.9599545633182202,cosine
L0_D0_U200,L0_D8.4_U200,3,0.957515761452158,cosine
L0_D0_U200,L0_D6_U200,4,0.9543785405553373,cosine
L0_D0_U200,L0_D1.2_U200,5,0.9514486142029999,cosine
L0_D0_U200,L0_D9.6_U220,6,0.9164550233256622,cosine
L0_D0_U200,L340_D0_U200,7,0.9051666907061743,cosine
L0_D0_U200,L0_D2.4_U200,8,0.895400599164843,cosine
L0_D0_U200,L20_D8.4_U220,9,0.8693634118171272,cosine
L0_D0_U200,L20_D7.2_U220,10,0.8584975098837465,cosine
L0_D0_U220,L0_D1.2_U220,1,0.9692420014961849,cosine
L0_D0_U220,L0_D6_U220,2,0.9065953096245171,cosine
L0_D0_U220,L0_D9.6_U220,3,0.8962978188729388,cosine
L0_D0_U220,L0_D8.4_U220,4,0.8931747592524725,cosine
L0_D0_U220,L0_D7.2_U220,5,0.8930881425040973,cosine
L0_D0_U220,L0_D2.4_U220,6,0.8746435608106504,cosine
L0_D0_U220,L20_D6_U220,7,0.8705994791221542,cosine
L0_D0_U220,L20_D7.2_U220,8,0.8514713578421279,cosine
L0_D0_U220,L340_D0_U220,9,0.825372781132929,cosine
L0_D0_U220,L340_D0_U200,10,0.8190717822795366,cosine
L0_D0_U240,L0_D1.2_U240,1,0.979813382649452,cosine
L0_D0_U240,L0_D2.4_U260,2,0.8602345040132724,cosine
L0_D0_U240,L0_D3.6_U240,3,0.8427937823301829,cosine
L0_D0_U240,L0_D1.2_U260,4,0.8413374333353121,cosine
L0_D0_U240,L340_D1.2_U240,5,0.8305323835427497,cosine
L0_D0_U240,L20_D2.4_U260,6,0.8194389869803197,cosine
L0_D0_U240,L20_D3.6_U260,7,0.8179963054678786,cosine
L0_D0_U240,L20_D1.2_U260,8,0.8118372773090258,cosine
L0_D0_U240,L340_D1.2_U260,9,0.8067606301769297,cosine
L0_D0_U240,L340_D3.6_U240,10,0.8028302404445918,cosine
L0_D0_U260,L0_D4.8_U260,1,0.9460063239274407,cosine
L0_D0_U260,L20_D0_U260,2,0.9456167394415906,cosine
L0_D0_U260,L0_D3.6_U260,3,0.9079558511230932,cosine
L0_D0_U260,L20_D6_U260,4,0.903539438785682,cosine
L0_D0_U260,L20_D4.8_U260,5,0.891257588630142,cosine
L0_D0_U260,L0_D9.6_U260,6,0.8522062025483166,cosine
L0_D0_U260,L0_D6_U260,7,0.8392400480034006,cosine
L0_D0_U260,L20_D9.6_U260,8,0.8388048620050241,cosine
L0_D0_U260,L0_D3.6_U240,9,0.8001211809955023,cosine
L0_D0_U260,L340_D0_U260,10,0.7941604386249405,cosine
L0_D0_U280,L0_D4.8_U280,1,0.9654319867316306,cosine
L0_D0_U280,L0_D1.2_U280,2,0.9582424990702183,cosine
L0_D0_U280,L0_D6_U280,3,0.9538817329502286,cosine
L0_D0_U280,L0_D3.6_U280,4,0.9397128661253416,cosine
L0_D0_U280,L0_D2.4_U280,5,0.9342053239644859,cosine
L0_D0_U280,L0_D7.2_U280,6,0.9174158151918872,cosine
L0_D0_U280,L340_D1.2_U280,7,0.916830474560335,cosine
L0_D0_U280,L0_D8.4_U280,8,0.9096110089699025,cosine
L0_D0_U280,L340_D0_U280,9,0.9091279834124828,cosine
L0_D0_U280,L0_D4.8_U80,10,0.9085553620374588,cosine
L0_D0_U300,L0_D4.8_U300,1,0.9831019488238277,cosine
L0_D0_U300,L0_D1.2_U300,2,0.9620754039236525,cosine
L0_D0_U300,L0_D6_U300,3,0.9480619087925368,cosine
L0_D0_U300,L0_D2.4_U300,4,0.9474121362751028,cosine
L0_D0_U300,L0_D3.6_U300,5,0.9285327395113817,cosine
L0_D0_U300,L340_D1.2_U300,6,0.9227903664304283,cosine
L0_D0_U300,L0_D7.2_U300,7,0.9225168807402191,cosine
L0_D0_U300,L340_D2.4_U300,8,0.9196377843996201,cosine
L0_D0_U300,L20_D6_U300,9,0.9122617106121387,cosine
L0_D0_U300,L340_D0_U300,10,0.9013505295310295,cosine
L0_D0_U320,L0_D4.8_U320,1,0.9768835149802862,cosine
L0_D0_U320,L0_D1.2_U320,2,0.9631405606753222,cosine
L0_D0_U320,L0_D3.6_U320,3,0.9628485011425509,cosine
L0_D0_U320,L0_D6_U320,4,0.9270050767200931,cosine
